投诉编号,投诉品牌,投诉车系,问题简述,典型问题,投诉时间,投诉状态
483285,上汽通用凯迪拉克,2020款 28T 两驱 领先型,凯迪拉克XT4高速行驶时甩尾影响行车安全,前后桥及悬挂系统跑偏,2020-06-21 09:47:39.643,处理反馈
483283,广汽本田,2018款 1.5L CVT 舒适版,广汽本田飞度行驶过程中发动机抖动熄火,发动机抖动发动机熄火,2020-06-21 09:47:39.660,处理反馈
483282,长安马自达,2020款 1.5L 自动 质美版,长安马自达昂克赛拉电瓶故障导致启动困难,车身附件及电器电瓶故障,2020-06-21 09:47:39.678,处理反馈
483281,长城汽车,2019款 1.5T 两驱 极智潮玩版,哈弗F7x底盘生锈有异响车载互联功能失灵,车身附件及电器车身生锈车身附件及电器车载互联故障,2020-06-21 09:47:39.702,用户评分
483280,一汽丰田,2020款 2.0L CVT 两驱 都市版,一汽丰田RAV4荣放后备箱有漏水的现象,车身附件及电器车身漏水车身附件及电器后备箱故障,2020-06-21 09:47:39.720,信息审核
483277,上汽集团,2019款 20T 手动 两驱 豪华版 国VI,上汽名爵HS经销商出售库存车要求处理,销售欺诈出售库存车,2020-06-21 09:47:39.757,处理反馈
483276,广汽本田,2016款 1.5L LX CVT 舒适型,广汽本田飞度冷车启动发动机有异响,发动机异响,2020-06-21 09:47:39.792,用户评分
483272,一汽马自达,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹后备箱天窗和B柱有异响,车身附件及电器车身异响车身附件及电器天窗异响车身附件及电器后备箱故障,2020-06-21 09:47:39.828,用户评分
483271,领克汽车,2018款 1.5TD DCT 劲Pro版 国V,领克03经销商承诺的置换补贴不予兑现,承诺不兑现销售承诺不兑现,2020-06-21 09:47:39.854,处理反馈
483270,一汽马自达,2020款 2.0L 自动 两驱 蓝天活力版,一汽马自达CX-4 车身左右AB柱异响,车身附件及电器车身异响,2020-06-21 09:47:39.871,处理反馈
483269,上汽通用别克,2019款 20T 精英型 国VI,别克君威中控台异响 A柱和车门异响,车身附件及电器门窗异响车身附件及电器中控台异响车身附件及电器车身异响,2020-06-21 09:47:39.888,处理反馈
483268,上汽集团,2016款 1.5T 自动  两驱 互联网智享版,上汽荣威RX5匀速行驶中变速箱强制降挡,变速器拖挡变速器跳挡,2020-06-21 09:47:39.902,处理反馈
483266,吉利汽车,2020款 1.8TD DCT 智领PRO,吉利博越实车配置与宣传不符无挡位灯,销售欺诈与宣传不符,2020-06-21 09:47:39.924,用户评分
483263,广汽丰田,2019款 185T CVT 豪华版 国VI,广汽丰田雷凌变速箱异响 方向异响,变速器异响转向系统异响,2020-06-21 09:47:39.938,用户评分
483262,沃尔沃亚太,2019款 S60L 改款 T5 智进进阶版,亚太沃尔沃S60安全气囊故障希望厂家处理,车身附件及电器气囊故障,2020-06-21 09:47:39.950,信息审核
483261,广汽丰田,2019款 2.5Q 旗舰版 国VI,广汽丰田凯美瑞更换前轮内衬弄坏车漆,人员技术修出新问题人员技术维修技术差人员技术操作不规范,2020-06-21 09:47:39.961,处理反馈
483260,一汽马自达,2020款 2.5L 蓝天运动版,一汽马自达阿特兹无人告知有大客户优惠,服务流程不完善活动不通知,2020-06-21 09:47:39.974,信息审核
483258,一汽马自达,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹车身异响 座椅塌陷变形,车身附件及电器车内异响车身附件及电器车身异响车身附件及电器座椅故障,2020-06-21 09:47:39.991,用户评分
483257,一汽-大众,2018款 1.5L 自动 舒适型,一汽大众宝来转向柱和气囊游丝异响,转向系统异响,2020-06-21 09:47:40.972,处理反馈
483254,众泰汽车,2016款 纯电动 三门两座科技版,众泰E200正常行驶过程中车辆突然甩尾,前后桥及悬挂系统行驶中颠簸,2020-06-21 09:47:40.982,信息审核
483252,众泰汽车,2016款 1.5T 手动 尊贵型,众泰T600副驾驶座椅晃动一直无配件,车身附件及电器座椅故障配件争议无零配件,2020-06-21 09:47:40.994,处理反馈
483251,吉利汽车,2019款 升级版 1.5L 手动 豪华型 国VI,吉利远景购买新车轮胎吃胎偏磨严重,前后桥及悬挂系统吃胎偏磨,2020-06-21 09:47:41.008,处理反馈
483248,东风日产,2014款 2.0L XE CVT 两驱 时尚版,东风日产奇骏变速箱钢带磨损电磁阀故障,变速器滑阀箱故障,2020-06-21 09:47:41.021,处理反馈
483247,长城汽车,2019款 2.0T 旗舰型 升级版 国VI,WEY VV7变速箱换挡时异响4S店否认质量问题,变速器异响,2020-06-21 09:47:41.036,用户评分
483246,北京现代,2015款 1.6L 自动 尊贵型,北京现代朗动车载导航屏幕出现黑屏,车身附件及电器影音系统故障,2020-06-21 09:47:41.047,处理反馈
483244,东风标致,2018款 1.6L 自动 豪华版,东风标致308中控屏幕死机出现蓝屏,车身附件及电器影音系统故障,2020-06-21 09:47:41.058,处理反馈
483241,广汽丰田,2016款 2.0G 自动 十周年纪念领先版,广汽丰田凯美瑞半轴漏油要求厂家召回,前后桥及悬挂系统半轴渗油,2020-06-21 09:47:41.069,处理反馈
483240,一汽-大众奥迪,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L车辆启动突然熄火,发动机熄火,2020-06-21 09:47:41.083,信息审核
483238,一汽马自达,2020款 2.0L 蓝天豪华版,一汽马自达阿特兹AB柱和中控异响,车身附件及电器车身异响,2020-06-21 09:47:41.096,处理反馈
483236,长安马自达,2017款 1.5L 自动 舒适型 两厢 国V,长安马自达昂克赛拉变速器异响要求索赔,变速器异响,2020-06-21 09:47:41.108,处理反馈
483235,上汽斯柯达,2018款 1.6L 手动 舒适版,斯柯达明锐车内异味希望尽快处理,车身附件及电器车内异味,2020-06-21 09:47:41.118,处理反馈
483234,长安汽车,2019款 蓝鲸版 280T GDI DCT 极速型,长安逸动备胎固定螺丝滑扣 车身有色差,车身附件及电器车身有色差配件争议配件质量差,2020-06-21 09:47:41.127,处理反馈
483232,比亚迪,2019款 1.5T 自动 尊贵型,比亚迪宋Pro配置表与实车不一致,承诺不兑现销售承诺不兑现,2020-06-21 09:47:41.138,处理反馈
483227,海马汽车,2015款 1.5T 手动 运动智骋型,海马S5冷车启动时变速箱无法换挡,变速器无法换挡,2020-06-21 09:47:41.150,处理反馈
483224,上汽通用凯迪拉克,2018款 25T 两驱 豪华型,凯迪拉克XT5发动机漏油维修未解决问题,发动机漏油,2020-06-21 09:47:41.163,用户评分
483223,一汽马自达,2020款 2.5L 蓝天运动版,一汽马自达阿特兹车身两侧以及中控台异响,车身附件及电器中控台异响车身附件及电器车身异响,2020-06-21 09:47:41.175,用户评分
483222,吉利汽车,2020款 1.8TD DCT 智慧PRO,吉利博越车机系统不完善功能与宣传不符,变速器挡把总成故障车身附件及电器影音系统故障销售欺诈与宣传不符,2020-06-21 09:47:41.187,用户评分
483219,一汽马自达,2020款 2.0L 自动 两驱 蓝天活力版,一汽马自达CX-4车身天窗异响希望厂家处理,车身附件及电器车身异响车身附件及电器天窗异响,2020-06-21 09:47:41.198,处理反馈
483214,一汽马自达,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹车身AB柱顶棚异响,车身附件及电器车内异响车身附件及电器车身异响,2020-06-21 09:47:41.209,用户评分
483212,东风标致,2015款 1.2T 自动 豪华版,东风标致408空调不制冷希望厂家处理,车身附件及电器空调问题,2020-06-21 09:47:41.220,处理反馈
483210,长城汽车,2019款 1.5T 两驱 i潮,哈弗F7车机虚假宣传雷达失灵厂家未解决,车身附件及电器门窗异响服务态度不解决问题服务态度互相推诿销售欺诈与宣传不符,2020-06-21 09:47:41.230,用户评分
483208,长安福特,2017款 1.5L 手动 舒适型,长安福特福睿斯变速箱异响刹车盘生锈,变速器异响制动系统生锈,2020-06-21 09:47:41.238,用户评分
483205,一汽红旗,2019款 2.0T 智联旗享四驱版,一汽红旗HS5经销商出售问题车漆面有瑕疵,销售欺诈出售问题车,2020-06-21 09:47:41.258,信息审核
483200,一汽-大众,2020款 230TSI DSG 两驱 进取型,一汽大众探歌玻璃贴膜内有异物要求处理,人员技术维修技术差,2020-06-21 09:47:41.270,处理反馈
483199,奇瑞汽车,2018款 1.5TCI 自动 豪华型 5座,奇瑞瑞虎8底盘异响严重希望尽快处理,前后桥及悬挂系统底盘异响,2020-06-21 09:47:41.279,用户评分
483197,上汽通用别克,2018款 20T 双离合 两驱 豪华型,别克昂科威散热风扇开裂要求尽快处理,车身附件及电器部件开裂,2020-06-21 09:47:41.291,用户评分
483196,一汽-大众,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾实车没有坡道辅助系统,销售欺诈与宣传不符,2020-06-21 09:47:41.301,处理反馈
483195,一汽马自达,2020款 2.0L 蓝天豪华版,一汽马自达阿特兹行驶中车身异响,车身附件及电器车身异响,2020-06-21 09:47:41.310,处理反馈
483194,上汽大众,2017款 1.6L 手动 舒适版,上汽大众朗逸左前轮异响 多次维修未解决,前后桥及悬挂系统车轮异响人员技术多次返修,2020-06-21 09:47:42.260,用户评分
483192,上汽通用雪佛兰,2019款 535T CVT 锐动版,雪佛兰迈锐宝XL行驶过程中发动机舱内异响,发动机异响,2020-06-21 09:47:42.273,用户评分
483188,上汽通用凯迪拉克,2016款 28T 时尚型,凯迪拉克ATS-L发动机缸压低希望得到处理,发动机功率不足,2020-06-21 09:47:42.285,处理反馈
483186,上汽大众,2019款 280TSI DSG 舒适版,上汽大众途铠右前发生事故4S店无配件更换,配件争议无零配件,2020-06-21 09:47:42.295,处理反馈
483185,吉利汽车,2016款 1.5L 手动 向上版 三厢,吉利帝豪车身多处生锈希望得到处理,车身附件及电器车身生锈,2020-06-21 09:47:42.312,处理反馈
483184,广汽讴歌,2016款 1.5T   四驱智享版,广汽讴歌CDX车辆电瓶出现不正常亏电,车身附件及电器电瓶故障,2020-06-21 09:47:42.324,处理反馈
483183,一汽马自达,2020款 2.0L 自动 两驱 蓝天活力版,一汽马自达CX-4车身ABC柱异响严重,车身附件及电器中控台异响车身附件及电器车身异响,2020-06-21 09:47:42.337,用户评分
483182,奇瑞汽车,2016款 1.5L 手动 领锐版,奇瑞艾瑞泽5轮毂螺丝生锈存在隐患,车身附件及电器车身生锈,2020-06-21 09:47:42.346,处理反馈
483181,一汽丰田,2019款 双擎 2.5L 豪华版 国Ⅵ,一汽丰田亚洲龙机油增多有严重汽油味	,发动机机油增多,2020-06-21 09:47:42.357,信息审核
483179,长安汽车,2020款 280T 自动 精智型 国VI,长安CS75减震弹簧脱出 半轴间隙大,前后桥及悬挂系统跑偏前后桥及悬挂系统悬挂故障,2020-06-21 09:47:42.373,用户评分
483178,北京汽车,2015款 1.5L 手动 精英型,北京汽车绅宝X25行驶过程中方向助力失灵,转向系统失灵服务态度不予索赔,2020-06-21 09:47:42.387,用户评分
483177,北京现代,2018款 1.6L 自动 15周年特别版,北京现代领动锦湖轮胎鼓包厂家拒绝索赔,轮胎鼓包服务态度不解决问题服务态度不予索赔,2020-06-21 09:47:42.397,处理反馈
483176,吉利汽车,2019款 1.4T CVT 雅,吉利帝豪GS新车车漆数值存在明显误差,车身附件及电器车身有色差,2020-06-21 09:47:42.408,用户评分
483175,北京汽车,2017款 1.5L 舒适型,北汽威旺M50F平衡杆断开存在出现异响,前后桥及悬挂系统平衡杆异响车身附件及电器部件开裂,2020-06-21 09:47:42.420,信息审核
483174,众泰汽车,2016款 1.5T  手动 尊贵型 运动版,众泰T600发动机进气管脱落厂家无配件,发动机漏气车身附件及电器导航问题车身附件及电器雨刮器故障,2020-06-21 09:47:42.430,处理反馈
483173,郑州日产,2018款 1.6L CVT 豪华型,郑州日产NV200售后维修人员存在欺诈行为,服务态度不解决问题服务态度态度蛮横服务态度故意拖延人员技术操作不规范承诺不兑现服务承诺不兑现配件争议使用非原厂件配件争议未更换定损配件,2020-06-21 09:47:42.442,信息审核
483172,上汽大众,2019款 1.5L 自动 舒适版 国VI,上汽大众朗逸热车加速行驶时发动机异响,发动机异响,2020-06-21 09:47:42.456,用户评分
483170,长安马自达,2016款 1.5L 手动 豪华型 三厢,长安马自达昂克赛拉中控屏幕爆裂影响使用,车身附件及电器影音系统故障,2020-06-21 09:47:42.467,处理反馈
483169,一汽丰田,2019款 1.2T S-CVT GL-i豪华版,一汽丰田卡罗拉前刹车盘异常磨损4S店不保修,变速器抖动制动系统异常磨损车身附件及电器导航问题服务态度不予索赔,2020-06-21 09:47:42.478,信息审核
483167,东风标致,2014款 1.8L 自动 豪华版,东风标致408发动机烧机油 厂家不予索赔,发动机烧机油,2020-06-21 09:47:42.489,处理反馈
483165,北京奔驰,2020款 改款 E 300 L 时尚型,北京奔驰E级轮胎品牌与实车严重不符,销售欺诈与宣传不符,2020-06-21 09:47:42.501,信息审核
483164,上汽大众,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸变速箱异响 门窗异响,变速器异响车身附件及电器门窗异响,2020-06-21 09:47:42.511,处理反馈
483162,上汽集团,2018款 20T 自动 两驱 互联网智惠版,上汽荣威RX5车顶漏水车内积水4S店不保修,车身附件及电器车身漏水车身附件及电器天窗漏水服务态度不解决问题服务态度不予索赔,2020-06-21 09:47:42.521,用户评分
483161,长城汽车,2017款 VV7s 旗舰型,WEY VV7后备箱无故开启存在质量问题,车身附件及电器后备箱故障,2020-06-21 09:47:42.532,处理反馈
483160,吉利汽车,2017款 1.8L 手动 精英型,吉利帝豪GL离合器漏油发动机无法启动,发动机无法启动离合器漏油,2020-06-21 09:47:42.542,用户评分
483159,广汽本田,2018款 260TURBO 精英版 国V,广汽本田雅阁行驶中动力突然消失,发动机动力消失,2020-06-21 09:47:42.552,用户评分
483156,比亚迪,2019款 1.5T 自动 尊贵型,比亚迪宋Pro车辆配置与厂家宣传不符,销售欺诈与宣传不符,2020-06-21 09:47:42.563,用户评分
483155,东风日产,2016款 2.0L CVT 精英版,东风日产逍客变速箱无法加速存在质量问题,变速器无法加速,2020-06-21 09:47:42.574,处理反馈
483152,吉利汽车,2016款 1.8TD 自动 两驱 智尊型,吉利博越排气管锈蚀厂家不承认问题,车身附件及电器排气管锈蚀服务态度不解决问题,2020-06-21 09:47:42.585,处理反馈
483150,一汽马自达,2020款 2.5L 蓝天运动版,一汽马自达阿特兹车身B柱异响一直不回复,车身附件及电器车内异响车身附件及电器车身异响服务态度不解决问题服务态度厂家不回复,2020-06-21 09:47:42.594,处理反馈
483149,广汽乘用车,2017款 235T 自动 两驱 豪华智联版,广汽传祺GS4米其林轮胎开裂质量差,轮胎开裂,2020-06-21 09:47:43.629,用户评分
483148,东风日产,2020款 1.6L XL CVT 智享版,东风日产轩逸经销商出售问题车保险杠有喷漆,销售欺诈出售问题车,2020-06-21 09:47:43.647,处理反馈
483147,上汽大众,2017款 1.6L 手动 舒适版,上汽大众朗逸韩泰轮胎有裂纹希望厂家处理,轮胎开裂,2020-06-21 09:47:43.660,处理反馈
483146,吉利新能源,2019款 400T 驭星者 纯电动续航80KM,吉利星越新能源车机卡顿厂家未告知升级时间,服务态度不解决问题,2020-06-21 09:47:43.673,处理反馈
483145,众泰汽车,2017款 1.8T 双离合 尊贵型,众泰T700厂家不发配件导致车辆无法维修,配件争议配件质量差,2020-06-21 09:47:43.689,处理反馈
483143,奇瑞汽车,2016款 1.6L e 致尚版,奇瑞艾瑞泽7e行驶中变速箱故障无法提速,变速器无法加速,2020-06-21 09:47:43.703,处理反馈
483142,上汽通用别克,2018款 15T 手动 精英型,别克英朗高速公路上突然熄火影响安全,发动机熄火,2020-06-21 09:47:43.712,处理反馈
483141,一汽马自达,2020款 2.0L 蓝天豪华版,一汽马自达阿特兹车内异响严重厂家不解决,车身附件及电器车内异响车身附件及电器中控台异响服务态度不解决问题人员技术多次返修,2020-06-21 09:47:43.722,用户评分
483140,一汽-大众,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳两前大灯有白雾4S店不给解决,车身附件及电器车灯不亮服务态度不解决问题服务态度不予索赔配件争议配件质量差,2020-06-21 09:47:43.733,用户评分
483137,广汽丰田,2012款 1.8 CVT 舒适多功能版,广汽丰田逸致安全扣与原厂不一致4S店不解决,车身附件及电器安全带故障服务态度不解决问题服务态度不予索赔配件争议使用非原厂件,2020-06-21 09:47:43.744,处理反馈
483136,广汽本田,2016款 2.4L  CVT 豪华版,广汽本田雅阁左前大灯更换后再次进水,车身附件及电器车灯进水服务态度不予索赔,2020-06-21 09:47:43.756,处理反馈
483133,长城汽车,2015款 1.5T 手动 两驱精英型 运动版,哈弗H6服务站保养后发动机连杆断裂,发动机缸体破损发动机连杆断裂,2020-06-21 09:47:43.767,用户评分
483132,长安马自达,2019款 云控版 三厢 1.5L 自动 舒适型 国V,长安马自达昂克赛拉变速箱顿挫异响,变速器异响变速器顿挫,2020-06-21 09:47:43.777,用户评分
483131,上汽通用五菱,2011款 1.5L 手动 舒适型,宝骏630车门生锈多次维修无法解决,车身附件及电器车身生锈,2020-06-21 09:47:43.787,处理反馈
483130,一汽奔腾,2017款 1.6L 手动 豪华型,一汽奔腾X40经销商出售问题车中控台生锈,车身附件及电器车身生锈销售欺诈出售问题车,2020-06-21 09:47:43.798,信息审核
483129,上汽大众,2019款 280TSI DSG 舒适版 国VI,上汽大众凌渡变速箱机电控制单元故障,变速器电脑板故障变速器拖挡服务态度不予索赔,2020-06-21 09:47:43.807,处理反馈
483127,奇瑞汽车,2019款 1.5T 自动 尊享型 6座 国V,奇瑞捷途X90导航无法更新 钥匙手环不索赔,车身附件及电器导航问题车身附件及电器车钥匙故障服务态度不解决问题服务态度不予索赔服务态度厂家不回复,2020-06-21 09:47:43.818,处理反馈
483124,北京现代,2011款 1.6L 手动 GLS 豪华型,北京现代悦动坑洼路面中控台异响,车身附件及电器中控台异响,2020-06-21 09:47:43.829,处理反馈
483122,广汽丰田,2015款 2.0G 自动 领先版,广汽丰田凯美瑞半轴防尘套漏油4S店不保修,前后桥及悬挂系统球笼套漏油服务态度不予索赔其他疑似设计缺陷其他厂家不召回,2020-06-21 09:47:43.844,处理反馈
483120,长安沃尔沃,2014款 2.0T T5 智逸版,长安沃尔沃S80发动机烧机油变速箱不提速,发动机烧机油变速器无法加速服务态度不予索赔,2020-06-21 09:47:43.856,信息审核
483119,上汽大通,2016款 2.0T 自动 精英版,上汽大通G10漆面起泡希望厂家处理问题,车身附件及电器漆面起泡开裂,2020-06-21 09:47:43.869,处理反馈
483118,一汽红旗,2019款 30TD 灵动版,一汽红旗H5车内前排天窗异响维修未解决问题,车身附件及电器车内异响车身附件及电器天窗异响,2020-06-21 09:47:43.880,信息审核
483117,上汽集团,2012款 1.8 自动 启臻版 550S,上汽荣威550手刹手柄断裂4S店不给保修,车身附件及电器部件异常磨损服务态度不予索赔,2020-06-21 09:47:43.891,处理反馈
483116,长城汽车,2019款 1.5T 手动 两驱 精英型 运动版 国VI,哈弗H6新车固铂轮胎爆胎存在质量问题,轮胎爆胎,2020-06-21 09:47:43.902,处理反馈
483115,东风标致,2013款 2.0 手动 舒适版,东风标致408车辆在行驶过程中自燃,车身附件及电器车辆自燃,2020-06-21 09:47:43.911,用户评分
483113,一汽-大众,2017款 1.6L 自动 时尚型,一汽大众宝来4S店未按承诺安全隔热瓦,承诺不兑现服务承诺不兑现,2020-06-21 09:47:43.921,处理反馈
483112,吉利新能源,2019款 400T 驭星者 纯电动续航80KM,吉利星越新能源车机系统与宣传不符,销售欺诈与宣传不符,2020-06-21 09:47:43.931,处理反馈
483106,长城汽车,2018款 2.0T 手动 四驱 精英型 经典版 柴油,哈弗H5维修期间电瓶损坏4S店不承认,车身附件及电器电瓶故障车身附件及电器胎压监测故障车身附件及电器定速巡航故障服务态度不解决问题服务态度不予索赔人员技术操作不规范,2020-06-21 09:47:43.942,处理反馈
483105,一汽马自达,2020款 2.0L 蓝天豪华版,一汽马自达阿特兹中控触摸屏出现黑屏,车身附件及电器影音系统故障,2020-06-21 09:47:43.953,信息审核
483103,一汽马自达,2020款 2.0L 蓝天豪华版,一汽马自达阿特兹新车中控台B柱异响严重,车身附件及电器车内异响车身附件及电器中控台异响服务态度不解决问题,2020-06-21 09:47:43.966,处理反馈
483101,吉利汽车,2018款 1.5L CVT 豪华型,吉利帝豪前排漏水 后备箱漏水无法解决,车身附件及电器车身漏水,2020-06-21 09:47:44.844,处理反馈
483100,一汽-大众,2018款 230TSI 自动 豪华型,一汽大众高尔夫嘉旅发动机变速箱有异响,发动机异响变速器异响,2020-06-21 09:47:44.856,用户评分
483099,吉利汽车,2018款 14T CVT 缤致版,吉利缤瑞电瓶短时间内报废存在质量问题,车身附件及电器电瓶故障,2020-06-21 09:47:44.869,处理反馈
483098,上汽大众,2019款 380TSI 两驱 商务版 国V,上汽大众辉昂方向盘皮质掉色4S店不给保修,车身附件及电器部件异常磨损服务态度不解决问题服务态度不予索赔,2020-06-21 09:47:44.885,处理反馈
483097,东风标致,2015款 1.2T 自动 豪华版,东风标致408轮毂氧化严重影响行驶安全,车身附件及电器轮毂问题车身附件及电器雨刮器故障,2020-06-21 09:47:44.896,用户评分
483096,宝马（进口）,2013款 118i 1.6T 自动 领先型 改款,进口宝马1系车内异味4S店否认质量问题,车身附件及电器车内异味服务态度否认质量问题,2020-06-21 09:47:44.907,处理反馈
483095,比亚迪,2019款 1.5T 自动 豪华型,比亚迪宋Pro车道保持及大灯配置与宣传不符,销售欺诈与宣传不符,2020-06-21 09:47:44.920,用户评分
483094,上汽大众,2016款 330TSI DSG 御尊版,上汽大众帕萨特变速箱跳挡机电单元故障,变速器跳挡,2020-06-21 09:47:44.930,处理反馈
483093,一汽马自达,2020款 2.5L 蓝天运动版,一汽马自达阿特兹车身AB柱及天窗异响,车身附件及电器车身异响车身附件及电器天窗异响,2020-06-21 09:47:44.941,处理反馈
483091,比亚迪,2014款 2.4L 自动 尊贵型 7座,比亚迪S6变速箱顿挫维修后再次出现故障,变速器顿挫变速器电脑板故障服务态度不解决问题服务态度不予索赔,2020-06-21 09:47:44.952,用户评分
483090,众泰汽车,2017款 2.0T 自动 极致之梦版,众泰SR9正常行驶时发动机故障灯亮,发动机故障灯亮,2020-06-21 09:47:44.961,处理反馈
483089,东风标致,2014款 1.8L 自动 豪华版,东风标致408后桥异响严重影响驾驶体验,前后桥及悬挂系统前后桥异响,2020-06-21 09:47:44.971,处理反馈
483088,长安马自达,2017款 1.5L 自动 豪华型 三厢 国V,马自达昂克赛拉发动机抖动 后视镜折叠失效,发动机抖动车身附件及电器后视镜故障,2020-06-21 09:47:44.999,处理反馈
483084,一汽-大众,2018款 280TSI DSG熠动版,一汽大众速腾韩泰轮胎开裂存在质量问题,轮胎开裂,2020-06-21 09:47:45.013,处理反馈
483083,林肯（进口）,2019款 2.0T 两驱 尊享版 国VI,林肯大陆内饰鼓包4S店使用旧件维修,配件争议使用非原厂件,2020-06-21 09:47:45.027,信息审核
483082,东风小康,2019款 220T CVT 智尚型 国V,东风风光ix5方向盘卡死要求退车4S店不解决,发动机抖动转向系统卡滞车身附件及电器电瓶故障车身附件及电器车窗升降故障车身附件及电器定速巡航故障服务态度不解决问题,2020-06-21 09:47:45.036,处理反馈
483080,奥迪（进口）,2019款 A8L 50 TFSI quattro 舒适型,进口奥迪A8经销商私自变更车辆归属方,人员技术操作不规范,2020-06-21 09:47:45.047,信息审核
483079,上汽大众,2018款 280TSI DSG 舒适版 国V,上汽大众朗逸刹车片和门板异响4S店不解决,制动系统异响车身附件及电器门窗异响服务态度不解决问题,2020-06-21 09:47:45.063,处理反馈
483077,众泰汽车,2017款 1.8T 双离合 尊享型,众泰T700变速箱无法换挡厂家不提供配件,变速器无法换挡配件争议无零配件,2020-06-21 09:47:45.079,处理反馈
483075,一汽红旗,2019款 2.0T 智联旗享版,一汽红旗HS5车身异响拆解多次未解决,车身附件及电器车内异响服务态度不解决问题人员技术多次返修,2020-06-21 09:47:45.105,信息审核
483074,长安汽车,2020款 2.0T 自动 领航型,长安CS75 PLUS 收取续保押金 承诺不兑现,服务收费变相收费承诺不兑现销售承诺不兑现,2020-06-21 09:47:45.120,处理反馈
483072,一汽马自达,2020款 2.5L 蓝天运动版,一汽马自达阿特兹车内多处异响厂家不解决,车身附件及电器车内异响车身附件及电器天窗异响服务态度不解决问题,2020-06-21 09:47:45.133,用户评分
483069,上汽大众,2017款 1.6L 自动 舒适版,上汽大众朗逸韩泰轮胎裂纹严重质量差,轮胎开裂,2020-06-21 09:47:45.146,处理反馈
483067,上汽大众,2018款 1.5L 手动 舒适版 国V,上汽大众朗逸韩泰轮胎老化裂纹严重,轮胎开裂,2020-06-21 09:47:45.159,处理反馈
483065,一汽奔腾,2017款 1.6L 手动 尊享型,一汽奔腾X40发动机缸盖损坏厂家不处理,发动机抖动服务态度不解决问题服务态度态度蛮横服务态度互相推诿人员技术多次返修,2020-06-21 09:47:45.173,信息审核
483064,北京现代,2019款 1.4T 双离合 炫动·活力型,北京现代领动发动机烧机油存在质量问题,发动机烧机油,2020-06-21 09:47:45.184,用户评分
483063,长安马自达,2016款 2.0L 自动 旗舰型 三厢,长安马自达昂克赛拉尾灯漏水 中控屏幕脱胶,车身附件及电器影音系统故障车身附件及电器车灯进水,2020-06-21 09:47:45.197,处理反馈
483062,奇瑞汽车,2017款 1.5L 手动 领潮版,奇瑞艾瑞泽5车身漆面多处严重生锈,车身附件及电器车身生锈,2020-06-21 09:47:45.210,处理反馈
483061,一汽丰田,2020款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放前保险杠有喷漆痕迹,销售欺诈出售问题车,2020-06-21 09:47:45.221,信息审核
483060,长安马自达,2017款 两厢 2.0L 自动 豪华型 国VI,长安马自达昂克赛拉加速时变速箱顿挫,变速器顿挫,2020-06-21 09:47:45.232,处理反馈
483059,上汽集团,2008款 1.8LDVVT 手动 启逸版 550S,上汽荣威550 ABS故障厂家不予召回,制动系统ABS故障,2020-06-21 09:47:46.195,处理反馈
483057,长安汽车,2015款 1.6L 自动 豪华型 国IV,长安CS35撞车后气囊未弹出影响安全,车身附件及电器气囊未弹开,2020-06-21 09:47:46.206,用户评分
483055,北京现代,2019款 280TGDi 智速版 国VI,北京现代菲斯塔变速箱漏油4S店不处理,变速器漏油服务态度不解决问题,2020-06-21 09:47:46.219,处理反馈
483054,东风标致,2016款 1.6T 自动 豪华版,东风标致408轮毂氧化存在质量问题,车身附件及电器轮毂问题,2020-06-21 09:47:46.232,处理反馈
483051,东风日产,2019款 1.6XV CVT 智联尊享版 国V,东风日产轩逸座椅脱皮4S店拖延不处理,车身附件及电器部件开裂服务态度故意拖延,2020-06-21 09:47:46.243,用户评分
483050,东风风行,2019款 劲享系列 1.5T CVT 尊享型,东风风行景逸X5转向灯雨刮器出现偶发性故障,变速器顿挫车身附件及电器车灯不亮车身附件及电器雨刮器故障服务态度不解决问题服务态度不予索赔销售欺诈出售问题车,2020-06-21 09:47:46.259,处理反馈
483049,沃尔沃亚太,2018款 T4 智远版,亚太沃尔沃S90发动机怠速抖动 变速箱顿挫,发动机抖动变速器异响变速器顿挫车身附件及电器天窗漏水,2020-06-21 09:47:46.271,信息审核
483048,长安福特,2019款 改款 1.5L 手动 质享型（胎压监测） 国V,长安福特福睿斯车顶漏装扶手 希望尽快处理,服务态度不解决问题其他疑似减配,2020-06-21 09:47:46.281,处理反馈
483047,一汽马自达,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹A柱B柱天窗异响严重,车身附件及电器车内异响车身附件及电器天窗异响人员技术维修技术差,2020-06-21 09:47:46.290,处理反馈
483046,一汽马自达,2020款 2.5L 蓝天运动版,一汽马自达阿特兹B柱异响希望厂家解决,车身附件及电器车身异响,2020-06-21 09:47:46.301,用户评分
483044,一汽-大众,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ,一汽大众探岳喇叭声音发闷影响使用,车身附件及电器喇叭故障,2020-06-21 09:47:46.313,用户评分
